comercializadora;tarifa_acceso;tarifa_comercial;rango;mantenimiento;comision_variable;comision_fija;canal_preferente;canal;comercial_i;jefe_equipo_i;comercial_ii;jefe_equipo_ii;comercial_iii;jefe_equipo_iii
REPSOL;2.0TD;PRECIO FIJO CDR TA24HPLUS 12M V31;POT. 0-10 KW;;;36,00 €;32,40 €;28,80 €;25,92 €;2,88 €;23,04 €;5,76 €;14,40 €;14,40 €
REPSOL;2.0TD;PRECIO FIJO TRANQUILISIMA 5Y TA24HPLUS 12M VLP;POT. 0-10 KW;;;90,00 €;81,00 €;70,00 €;63,00 €;7,00 €;56,00 €;14,00 €;35,00 €;35,00 €
REPSOL;2.0TD;PRECIO FIJO CDR TA24HPLUS 12M V30;POT. 0-10 KW;;;67,50 €;60,75 €;54,00 €;48,60 €;5,40 €;43,20 €;10,80 €;27,00 €;27,00 €
REPSOL;2.0TD;PRECIO FIJO CDR 12M V30;POT. 0-10 KW;;;58,50 €;52,65 €;46,80 €;42,12 €;4,68 €;37,44 €;9,36 €;23,40 €;23,40 €
REPSOL;2.0TD;PRECIO FIJO CDR TA24HPLUS 12M V29;POT. 0-10 KW;;;90,00 €;81,00 €;70,00 €;63,00 €;7,00 €;56,00 €;14,00 €;35,00 €;35,00 €
REPSOL;2.0TD;PRECIO FIJO CDR 12M V29;POT. 0-10 KW;;;90,00 €;81,00 €;70,00 €;63,00 €;7,00 €;56,00 €;14,00 €;35,00 €;35,00 €
REPSOL;2.0TD;SOLAR PRECIO FIJO SBC NUEVO 12M V30 (SIN BATERÍA VIRTUAL);POT. 0-10 KW;;;58,50 €;52,65 €;46,80 €;42,12 €;4,68 €;37,44 €;9,36 €;23,40 €;23,40 €
REPSOL;2.0TD;SOLAR BATERÍA VIRTUAL PRECIO FIJO SBC NUEVO 12M V26;POT. 0-10 KW;;;58,50 €;52,65 €;46,80 €;42,12 €;4,68 €;37,44 €;9,36 €;23,40 €;23,40 €
REPSOL;2.0TD;SOLAR BATERÍA VIRTUAL PRECIO FIJO TA24H PLUS SBC NUEVO 12M V26;POT. 0-10 KW;;;58,50 €;52,65 €;46,80 €;42,12 €;4,68 €;37,44 €;9,36 €;23,40 €;23,40 €
REPSOL;2.0TD;INDEXADO PRESENCIALES BL1 12M V0;POT. 0-10 KW;;;58,50 €;52,65 €;28,80 €;25,92 €;2,88 €;23,04 €;5,76 €;14,40 €;14,40 €
REPSOL;2.0TD;POT. 10-15KW PRECIO FIJO BRONCE PRESENCIALES REPOS 2 12M L0;CONS. 0 - 9.999 KW;;;108,00 €;97,20 €;86,40 €;77,76 €;8,64 €;69,12 €;17,28 €;43,20 €;43,20 €
REPSOL;2.0TD;POT. 10-15KW PRECIO FIJO BRONCE PRESENCIALES REPOS 2 12M L2;CONS. 0 - 9.999 KW;;;90,00 €;81,00 €;72,00 €;64,80 €;7,20 €;57,60 €;14,40 €;36,00 €;36,00 €
REPSOL;2.0TD;POT. 10-15KW PRECIO FIJO BRONCE PRESENCIALES REPOS 2 12M L4;CONS. 0 - 9.999 KW;;;63,00 €;56,70 €;50,40 €;45,36 €;5,04 €;40,32 €;10,08 €;25,20 €;25,20 €
REPSOL;2.0TD;POT. 10-15KW PRECIO FIJO BRONCE PRESENCIALES SBC 12M L8;CONS. 0 - 9.999 KW;;;36,00 €;32,40 €;28,80 €;25,92 €;2,88 €;23,04 €;5,76 €;14,40 €;14,40 €
